"text","title"
"On the first day of Christmas
My true love sent to me
A partridge in a pear tree

On the second day of Christmas
My true love sent to me
Two turtle doves and
A partridge in a pear tree

On the third day of Christmas
My true love sent to me
Three French hens
Two turtle doves and
A partridge in a pear tree

On the forth day of Christmas
My true love sent to me
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the fifth day of Christmas
My true love sent to me
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the sixth day of Christmas
My true love sent to me
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the seventh day of Christmas
My true love sent to me
Seven swans a-swimming
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the eighth day of Christmas
My true love sent to me
Eight maids a-milking
Seven swans a-swimming
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the ninth day of Christmas
My true love sent to me
Nine ladies dancing
Eight maids a-milking
Seven swans a-swimming
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the tenth day of Christmas
My true love sent to me
Ten lords a-leaping
Nine ladies dancing
Eight maids a-milking
Seven swans a-swimming
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the eleventh day of Christmas
My true love sent to me
Eleven pipers piping
Ten lords a-leaping
Nine ladies dancing
Eight maids a-milking
Seven swans a-swimming
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree

On the twelfth day of Christmas
My true love sent to me
Twelve drummers drumming
Eleven pipers piping
Ten lords a-leaping
Nine ladies dancing
Eight maids a-milking
Seven swans a-swimming
Six geese a-laying
Five golden rings
Four calling birds
Three French hens
Two turtle doves and
A partridge in a pear tree","12 Days of Christmas Lyrics"
"Hushaby, hushaby
Christmas stars are in the sky
Sweet the bells of Christmas Eve
Babies, each a kiss receive
Hushaby, goodnight
Hushaby, goodnight

Lullaby, lullaby
Babies in their cradles lie
Every one in white is gowned
Hush, make not a single sound
Lullaby, goodnight
Lullaby, goodnight

Rockaby, rockaby
Christmastide draweth nigh
Quiet now the tiny feet
Babies sleep so still and sweet
Sweetest dreams, goodnight
Sweetest dreams, goodnight","A Christmas Lullaby Lyrics"
"A chubby little snowman
Had a carrot nose
Along came a rabbit
And what do you suppose?
That hungry little rabbit
Looking for his lunch
Ate the snowman’s carrot nose
Nibble, nibble, crunch!","A Chubby Little Snowman Lyrics"
"Amazing grace, how sweet the sound
That saved a wretch like me
I once was lost, but now am found
Was blind, but now I see

'Twas grace that taught my heart to fear
And grace my fears relieved
How precious did that grace appear
The hour I first believed

Through many dangers, toils, and snares
I have already come
'Tis grace that brought me safe thus far
And grace will lead me home

When we’ve been there ten thousand years
Bright shining as the sun
We’ve no less days to sing God’s praise
Then when we first begun

Amazing grace, how sweet the sound
That saved a wretch like me
I once was lost, but now am found
Was blind, but now I see

Was blind, but now I see","Amazing Grace Lyrics"
"Angels, from the realms of glory
Wing your flight o'er all the earth
Ye who sang creation's story
Now proclaim Messiah's birth
Come and worship, come and worship
Worship Christ, the newborn King

Shepherds, in the fields abiding
Watching o'er your flocks by night
God with man is now residing
Yonder shines the infant light
Come and worship, come and worship
Worship Christ, the newborn King

Sages, leave your contemplations
Brighter visions beam afar
Seek the great Desire of nations
Ye have seen his natal star
Come and worship, come and worship
Worship Christ, the newborn King

Saints before the altar bending
Watching long in hope and fear
Suddenly the Lord, descending
In his temple shall appear

Come and worship, come and worship
Worship Christ, the newborn King
Come and worship, come and worship
Worship Christ, the newborn King","Angels From the Realms of Glory Lyrics"
"Gloria, Gloria

Angels we have heard on high
Sweetly singing o’er the plains
And the mountains in reply
Echoing their joyous strains

Gloria, in excelsis Deo!
Gloria, in excelsis Deo!

Shepherds, why this jubilee?
Why your joyous strains prolong?
What the gladsome tidings be
Which inspire your heavenly song?

Gloria, in excelsis Deo!
Gloria, in excelsis Deo!

Come to Bethlehem and see
Him Whose birth the angels sing
Come, adore on bended knee
Christ the Lord, the newborn King

Gloria, in excelsis Deo!
Gloria, in excelsis Deo!
Gloria, in excelsis Deo!
","Angels We Have Heard on High Lyrics"
"10, 9, 8, 7, 6, 5, 4, 3, 2, 1

Happy New Year!

Should old acquaintance be forgot
And never brought to mind?
Should old acquaintance be forgot
In the days of auld lang syne?

For auld lang syne, my dear
For auld lang syne
We'll take a cup of kindness yet
For the sake of auld lang syne

And surely you’ll buy your pint cup!
And surely I’ll buy mine!
And we'll take a cup o’ kindness yet
For the sake of auld lang syne

For auld lang syne, my dear
For auld lang syne
We'll take a cup of kindness yet
For the sake of auld lang syne

We two have run about the slopes
And picked the daisies fine
We’ve wandered many a weary foot
Since the days of auld lang syne

For auld lang syne, my dear
For auld lang syne
We'll take a cup of kindness yet
For the sake of auld lang syne

We two have paddled in the stream
From morning sun till dine
But seas between us broad have roared
Since the days of auld lang syne

For auld lang syne, my dear
for auld lang syne
we'll take a cup of kindness yet
for the sake of auld lang syne

And there’s a hand my trusty friend!
And give me a hand o’ thine!
We’ll take a cup of kindness yet
for the days of auld lang syne

For auld lang syne, my dear
for auld lang syne
we'll take a cup of kindness yet
for the sake of auld lang syne

For auld lang syne, my dear
for auld lang syne
we'll take a cup of kindness yet
for the sake of auld lang syne","Auld Lang Syne Lyrics"
"Away in a manger, no crib for a bed
The little Lord Jesus laid down His sweet head
The stars in the bright sky looked down where He lay
The little Lord Jesus asleep on the hay

The cattle are lowing, the baby awakes
But little Lord Jesus, no crying He makes
I love Thee, Lord Jesus, look down from the sky
And stay by my cradle till morning is nigh

Be near me, Lord Jesus, I ask Thee to stay
Close by me forever, and love me, I pray
Bless all the dear children in Thy tender care
And take us to heaven to live with Thee there","Away in a Manger Lyrics"
"Children go where I send thee
How shall I send thee?

I'm gonna send you one by one
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you two by two
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you three by three
Three for the Hebrew children
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you four by four
Four for the four knocking on the door
Three for the Hebrew children
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you five by five
Five for the gospel preachers
Four for the four knocking on the door
Three for the Hebrew children
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you six by six
Six for the six that couldn't get fixed
Five for the gospel preachers
Four for the four knocking on the door
Three for the Hebrew children
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you seven by seven
Seven for the seven that all went to Heaven
Six for the six that couldn't get fixed
Five for the gospel preachers
Four for the four knocking on the door
Three for the Hebrew children
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

Children go where I send thee
How shall I send thee?

I'm gonna send you eight by eight
Eight for the eight that stood at the gate
Seven for the seven that all went to Heaven
Six for the six that couldn't get fixed
Five for the gospel preachers
Four for the four knocking on the door
Three for the Hebrew children
Two for Paul and Silas
One for the little bitty baby
Born of the Virgin Mary
Born, born, born in Bethlehem

He was born, born in Bethlehem!","Children Go Where I Send Thee Lyrics"
"When Christ was born (when Christ was born)
On Christmas day (on Christmas day)
When Christ was born on Christmas day
Oh, how I want to be in that number
When Christ was born on Christmas day

Oh, when we hear (oh, when we hear)
The Christmas bells (the Christmas bells)
Oh, when we hear the Christmas bells
Oh, how I want to be in that number
When we hear the Christmas bells

When Christ was born (when Christ was born)
On Christmas day (on Christmas day)
When Christ was born on Christmas day
Oh, how I want to be in that number
When Christ was born on Christmas day

Oh, when we hear (oh, when we hear)
The Angels sing (the Angels sing)
Oh, when we hear the Angels sing
Oh, how I want to be in that number
When we hear the Angels sing

When Christ was born (when Christ was born)
On Christmas day (on Christmas Day)
When Christ was born on Christmas Day
Oh, how I want to be in that number
When Christ was born on Christmas Day

Oh, when the stars (oh when the stars)
Begin to shine (begin to shine)
Oh, when the stars begin to shine
Oh, how I want to be in that number
When the stars begin to shine

When Christ was born (when Christ was born)
On Christmas day (on Christmas Day)
When Christ was born on Christmas Day
Oh, how I want to be in that number
When Christ was born on Christmas Day

Oh, how I want to be in that number
When Christ was born on Christmas day
Oh, how I want to be in that number
When Christ was born on Christmas
Born on Christmas, born on Christmas Day!","Christ was Born on Christmas Day Lyrics"
"C-H-R-I-S-T-M-A-S

C is for the candy trimmed around the Christmas tree
H is for the happiness with all the family
R is for the reindeer prancing by the window pane
I is for the icing on the cake as sweet as sugar cane
S is for the stocking on the chimney wall
T is for the toys beneath the tree so tall
M is for the mistletoe where everyone is kissed
A is for the angels who make up the Christmas list
S is for old Santa who makes every kid his pet
Be good and he'll bring you everything in your Christmas alphabet!

Capital C is for the candy trimmed around the Christmas tree
H is for the happiness with all the family
R is for the reindeer prancing by the window pane
I is for the icing on the cake as sweet as sugar cane
S is for the stocking on the chimney wall
T is for the toys beneath the tree so tall
M is for the mistletoe where everyone is kissed
A is for the angels who make up the Christmas list
S is for old Santa who makes every kid his pet
Be good and he'll bring you everything in your Christmas (Christmas) alphabet!

C-H-R-I-S-T-M-A-S","Christmas Alphabet Lyrics"
"Christmas is a season of love
A time for being with the people you really love
So open your heart and let the giving begin
For then you may know the true meaning of Christmas

Let’s join hands around the world
And sing together in peace and harmony
We’ll open our hearts and let the giving begin
For then we may know the true meaning of Christmas

(Merry Christmas around the world)

Let’s join hands around the world
And sing together in peace and harmony
We’ll open our hearts and let the giving begin
For then we may know the true meaning of Christmas","Christmas is a Season of Love Lyrics"
"Deck the halls with boughs of holly
Fa-la-la-la-la, la-la, la, la
’Tis the season to be jolly
Fa-la-la-la-la, la-la, la, la

Don we now our gay apparel
Fa-la-la, la-la-la, la, la, la
Troll the ancient Yule-tide carol
Fa-la-la-la-la, la-la, la, la

See the blazing Yule before us
Fa-la-la-la-la, la-la, la, la
Strike the harp and join the chorus
Fa-la-la-la-la, la-la, la, la

Follow me in merry measure
Fa-la-la-la-la, la-la, la, la
While I tell of Yuletide treasure
Fa-la-la-la-la, la-la, la, la

Fast away the old year passes
Fa-la-la-la-la, la-la, la, la
Hail the new, ye lads and lasses
Fa-la-la-la-la, la-la, la, la

Sing we joyous all together
Fa-la-la-la-la, la-la, la, la
Heedless of the wind and weather
Fa-la-la-la-la, la-la, la, la
Fa-la-la-la-la, la-la, la, la","Deck the Halls Lyrics"
